2022-04-02 20:04:26 INFO  TestBase:41 - Before navigating to URL http://automationpractice.com/index.php
2022-04-02 20:04:31 INFO  TestBase:48 - After navigating to URL http://automationpractice.com/index.php
2022-04-02 20:04:31 INFO  TestBase:91 - Before finding by :By.cssSelector: .header_user_info
2022-04-02 20:04:31 INFO  TestBase:104 - Before clicking on [[ChromeDriver: chrome on WINDOWS (34992a77b2c6ceb99dc66981f40313cd)] -> css selector: .header_user_info]
2022-04-02 20:04:33 INFO  TestBase:110 - After clicking on [[ChromeDriver: chrome on WINDOWS (34992a77b2c6ceb99dc66981f40313cd)] -> css selector: .header_user_info]
2022-04-02 20:04:33 INFO  TestBase:91 - Before finding by :By.id: email
2022-04-02 20:04:34 INFO  TestBase:91 - Before finding by :By.id: passwd
2022-04-02 20:04:34 INFO  TestBase:91 - Before finding by :By.id: SubmitLogin
2022-04-02 20:04:34 INFO  TestBase:104 - Before clicking on [[ChromeDriver: chrome on WINDOWS (34992a77b2c6ceb99dc66981f40313cd)] -> id: SubmitLogin]
2022-04-02 20:04:35 INFO  TestBase:110 - After clicking on [[ChromeDriver: chrome on WINDOWS (34992a77b2c6ceb99dc66981f40313cd)] -> id: SubmitLogin]
2022-04-02 20:04:35 INFO  TestBase:91 - Before finding by :By.cssSelector: .sf-with-ul
2022-04-02 20:04:35 INFO  TestBase:104 - Before clicking on [[ChromeDriver: chrome on WINDOWS (34992a77b2c6ceb99dc66981f40313cd)] -> css selector: .sf-with-ul]
2022-04-02 20:04:38 INFO  TestBase:110 - After clicking on [[ChromeDriver: chrome on WINDOWS (34992a77b2c6ceb99dc66981f40313cd)] -> css selector: .sf-with-ul]
2022-04-02 20:04:38 INFO  TestBase:91 - Before finding by :By.cssSelector: .product_img_link
2022-04-02 20:04:38 INFO  TestBase:104 - Before clicking on [[ChromeDriver: chrome on WINDOWS (34992a77b2c6ceb99dc66981f40313cd)] -> css selector: .product_img_link]
2022-04-02 20:04:38 INFO  TestBase:110 - After clicking on [[ChromeDriver: chrome on WINDOWS (34992a77b2c6ceb99dc66981f40313cd)] -> css selector: .product_img_link]
2022-04-02 20:04:39 INFO  TestBase:91 - Before finding by :By.cssSelector: #quantity_wanted
2022-04-02 20:04:39 INFO  TestBase:91 - Before finding by :By.cssSelector: #quantity_wanted
2022-04-02 20:04:39 INFO  TestBase:91 - Before finding by :By.id: group_1
2022-04-02 20:04:39 INFO  TestBase:91 - Before finding by :By.id: group_1
2022-04-02 20:04:39 INFO  TestBase:91 - Before finding by :By.id: group_1
2022-04-02 20:04:39 INFO  TestBase:91 - Before finding by :By.xpath: .//option[@value = "3"]
2022-04-02 20:04:40 INFO  TestBase:104 - Before clicking on [[[[ChromeDriver: chrome on WINDOWS (34992a77b2c6ceb99dc66981f40313cd)] -> id: group_1]] -> xpath: .//option[@value = "3"]]
2022-04-02 20:04:40 INFO  TestBase:110 - After clicking on [[[[ChromeDriver: chrome on WINDOWS (34992a77b2c6ceb99dc66981f40313cd)] -> id: group_1]] -> xpath: .//option[@value = "3"]]
2022-04-02 20:04:40 INFO  TestBase:91 - Before finding by :By.cssSelector: #add_to_cart
2022-04-02 20:04:40 INFO  TestBase:104 - Before clicking on [[ChromeDriver: chrome on WINDOWS (34992a77b2c6ceb99dc66981f40313cd)] -> css selector: #add_to_cart]
2022-04-02 20:04:40 INFO  TestBase:110 - After clicking on [[ChromeDriver: chrome on WINDOWS (34992a77b2c6ceb99dc66981f40313cd)] -> css selector: #add_to_cart]
2022-04-02 20:04:40 INFO  TestBase:91 - Before finding by :By.cssSelector: a[class='btn btn-default button button-medium']
2022-04-02 20:04:40 INFO  TestBase:104 - Before clicking on [[ChromeDriver: chrome on WINDOWS (34992a77b2c6ceb99dc66981f40313cd)] -> css selector: a[class='btn btn-default button button-medium']]
2022-04-02 20:04:43 INFO  TestBase:110 - After clicking on [[ChromeDriver: chrome on WINDOWS (34992a77b2c6ceb99dc66981f40313cd)] -> css selector: a[class='btn btn-default button button-medium']]
2022-04-02 20:04:43 INFO  TestBase:91 - Before finding by :By.cssSelector: i.icon-trash
2022-04-02 20:04:43 INFO  TestBase:104 - Before clicking on [[ChromeDriver: chrome on WINDOWS (34992a77b2c6ceb99dc66981f40313cd)] -> css selector: i.icon-trash]
2022-04-02 20:04:43 INFO  TestBase:110 - After clicking on [[ChromeDriver: chrome on WINDOWS (34992a77b2c6ceb99dc66981f40313cd)] -> css selector: i.icon-trash]
2022-04-02 20:04:48 INFO  TestBase:91 - Before finding by :By.cssSelector: p[class='alert alert-warning']
